ID,date,date_code,ventilator,pestfield,COORD_X,COORD_Y
108,Before 1851,1,0,0,529574.9258,180971.6452
109,Before 1851,1,0,0,529611.5703,180988.7412
110,Before 1851,1,0,0,529609.2629,180992.7227
111,Before 1851,1,0,0,529611.4671,181001.028
112,Before 1851,1,0,0,529616.6323,181000.318
113,Before 1851,1,0,0,529621.3776,180999.5973
114,Before 1851,1,0,0,529651.993,181022.432
115,Before 1851,1,0,0,529549.3999,181049.9503
116,Before 1851,1,0,0,529522.505,181050.1065
117,Before 1851,1,0,0,529517.8198,181048.472
118,Before 1851,1,0,0,529655.3117,180778.7679
119,Before 1851,1,0,0,529661.9978,180779.9168
120,Before 1851,1,0,0,529647.3846,180926.1195
121,Before 1851,1,0,0,529631.6639,180948.4744
122,Before 1851,1,0,0,529626.3616,180955.4943
123,Before 1851,1,0,0,529635.0476,180956.4196
124,Before 1851,1,0,0,529637.2239,180957.1789
125,Before 1851,1,0,0,529521.7847,180779.7175
126,Before 1851,1,0,0,529518.3475,180775.9494
127,Before 1851,1,0,0,529503.6548,180770.1959
128,Before 1851,1,0,0,529535.878,180757.003
129,Before 1851,1,0,0,529527.6364,180744.1944
130,Before 1851,1,0,0,529533.1904,180744.6191
131,Before 1851,1,0,0,529484.649,180948.6373
132,Before 1851,1,0,0,529501.1714,180918.5871
133,Before 1851,1,0,0,529518.3623,180895.2879
134,Before 1851,1,0,0,529522.8471,180974.8631
135,Before 1851,1,0,0,529109.6782,181240.2241
136,Before 1851,1,0,0,529063.9942,181233.1435
137,Before 1851,1,0,0,529129.1741,181242.1994
138,Before 1851,1,0,0,529189.4315,181267.2389
139,Before 1851,1,0,0,529199.1508,181255.1174
140,Before 1851,1,0,0,529264.0459,181271.5497
141,Before 1851,1,0,0,529262.0232,181284.4702
142,Before 1851,1,0,0,529310.6069,181298.3765
143,Before 1851,1,0,0,529314.1498,181284.8914
144,Before 1851,1,0,0,529324.3955,181289.0739
145,Before 1851,1,0,0,529339.2249,181305.44
146,Before 1851,1,0,0,529370.8639,181319.519
147,Before 1851,1,0,0,529378.3418,181321.5194
148,Before 1851,1,0,0,529377.8312,181304.6127
149,Before 1851,1,0,0,529395.5125,181319.8449
150,Before 1851,1,0,0,529400.5374,181307.3026
151,Before 1851,1,0,0,529520.7512,180683.7435
152,Before 1851,1,0,0,529526.9254,180688.1546
153,Before 1851,1,0,0,529585.3237,180666.1355
154,Before 1851,1,0,0,529584.7565,180671.942
155,Before 1851,1,0,0,529612.5797,180660.114
156,Before 1851,1,0,0,529604.2083,180670.6469
157,Before 1851,1,0,0,529611.2399,180679.7815
158,Before 1851,1,0,0,529620.2036,180678.8907
159,Before 1851,1,0,0,529678.3284,180859.8963
160,Before 1851,1,0,0,529676.8103,180874.0672
161,Before 1851,1,0,0,529682.6387,180877.305
162,Before 1851,1,0,0,529690.0267,180874.8163
163,Before 1851,1,0,0,529692.3148,180870.756
164,Before 1851,1,0,0,529672.7801,181028.7664
165,Before 1851,1,0,0,529671.8406,181037.7302
166,Before 1851,1,0,0,529697.1138,181040.9069
167,Before 1851,1,0,0,529695.5865,181045.0453
168,Before 1851,1,0,0,529189.6846,180877.9231
169,Before 1851,1,0,0,529212.5203,180845.4496
170,Before 1851,1,0,0,529267.2674,180770.8591
171,Before 1851,1,0,0,529265.4389,180774.3002
172,Before 1851,1,0,0,529256.7174,180774.9503
173,Before 1851,1,0,0,529237.263,180752.658
174,Before 1851,1,0,0,529234.7821,180756.0825
175,Before 1851,1,0,0,529243.4463,180766.2425
176,Before 1851,1,0,0,529320.3704,180696.7142
177,Before 1851,1,0,0,529316.109,180698.19
178,Before 1851,1,0,0,529305.7459,180702.8232
179,Before 1851,1,0,0,529289.8437,180699.1061
180,Before 1851,1,0,0,529285.7633,180689.9289
181,Before 1851,1,0,0,529282.6622,180691.7223
182,Before 1851,1,0,0,529371.47,180722.3948
183,Before 1851,1,0,0,529360.6987,180716.0349
184,Before 1851,1,0,0,529352.5183,180713.4548
185,Before 1851,1,0,0,529104.0303,181171.7525
186,Before 1851,1,0,0,529098.2482,181169.1389
187,Before 1851,1,0,0,529061.8502,181141.8205
188,Before 1851,1,0,0,529059.4241,181146.4457
189,Before 1851,1,0,0,529044.2006,181151.9792
190,Before 1851,1,0,0,529038.9666,181176.2668
191,Before 1851,1,0,0,529023.981,181172.4329
192,Before 1851,1,0,0,529020.0061,181159.2584
193,Before 1851,1,0,0,529018.1014,181167.5968
194,Before 1851,1,0,0,529047.1319,181103.2127
195,Before 1851,1,0,0,529067.3599,181064.2589
196,Before 1851,1,0,0,529077.7162,181074.6355
197,Before 1851,1,0,0,529118.2143,181001.1694
198,Before 1851,1,0,0,529102.3339,181002.246
199,Before 1851,1,0,0,529117.9491,180975.2621
200,Before 1851,1,0,0,529130.1853,180978.2864
201,Before 1851,1,0,0,529179.5132,180866.3177
202,Before 1851,1,0,0,529356.6453,181199.0983
203,Before 1851,1,0,0,529356.7374,181187.0148
204,Before 1851,1,0,0,529420.4937,181234.2189
205,Before 1851,1,0,0,529424.8899,181235.0215
206,Before 1851,1,0,0,529419.204,181221.4096
207,Before 1851,1,0,0,529431.6832,181230.5328
208,Before 1851,1,0,0,529480.2286,181253.1787
209,Before 1851,1,0,0,529474.7119,181254.074
210,Before 1851,1,0,0,529472.6863,181249.0154
211,Before 1851,1,0,0,529473.1059,181245.2277
212,Before 1851,1,0,0,529446.2278,181183.9413
213,Before 1851,1,0,0,529450.4044,181184.9109
214,Before 1851,1,0,0,529455.5258,181182.6242
215,Before 1851,1,0,0,529457.78,181178.7106
216,Before 1851,1,0,0,529446.5091,181172.8985
217,Before 1851,1,0,0,529444.4702,181176.8177
218,Before 1851,1,0,0,529506.1417,181087.9983
219,Before 1851,1,0,0,529508.666,181082.9954
220,Before 1851,1,0,0,529559.2512,181099.0779
221,Before 1851,1,0,0,529562.4045,181103.4082
222,Before 1851,1,0,0,529566.8113,181096.5735
223,Before 1851,1,0,0,529551.0063,181129.0693
224,Before 1851,1,0,0,529568.0346,181139.1372
225,Before 1851,1,0,0,529598.4122,181159.9081
226,Before 1851,1,0,0,529613.8563,181168.6022
227,Before 1851,1,0,0,529629.5539,181177.5102
228,Before 1851,1,0,0,529513.0073,181188.5779
229,Before 1851,1,0,0,529513.4246,181197.5665
230,Before 1851,1,0,0,529517.8407,181193.3627
231,Before 1851,1,0,0,529501.8198,181196.4075
232,Before 1851,1,0,0,529495.0857,181202.7968
233,Before 1851,1,0,0,529507.7605,181200.012
234,Before 1851,1,0,0,529497.8649,181207.8746
235,Before 1851,1,0,0,529263.9016,181135.2734
236,Before 1851,1,0,0,529210.2176,181119.7505
237,Before 1851,1,0,0,529210.762,181106.8153
238,Before 1851,1,0,0,529205.2843,181097.698
239,Before 1851,1,0,0,529174.1714,181103.7992
240,Before 1851,1,0,0,529188.0016,181099.1561
241,Before 1851,1,0,0,529176.366,181099.1933
242,Before 1851,1,0,0,529143.1012,181096.017
243,Before 1851,1,0,0,529141.1811,181008.0622
244,Before 1851,1,0,0,529158.6389,181007.8399
245,Before 1851,1,0,0,529154.1664,181008.0592
246,Before 1851,1,0,0,529193.781,180957.6211
247,Before 1851,1,0,0,529197.0777,180958.7038
248,Before 1851,1,0,0,529203.7131,180951.0476
249,Before 1851,1,0,0,529202.9926,180946.7005
250,Before 1851,1,0,0,529235.2355,180908.3955
251,Before 1851,1,0,0,529267.64,180871.9261
252,Before 1851,1,0,0,529406.1244,180713.9584
253,Before 1851,1,0,0,529412.3413,180711.2062
254,Before 1851,1,0,0,529403.6739,180700.463
255,Before 1851,1,0,0,529403.8763,180708.9757
256,Before 1851,1,0,0,529475.9754,180735.8867
257,Before 1851,1,0,0,529478.9898,180738.2023
258,Before 1851,1,0,0,529500.8492,180702.7142
259,Before 1851,1,0,0,529504.3566,180702.1319
260,Before 1851,1,0,0,529484.3181,180693.5616
261,Before 1851,1,0,0,529490.0849,180697.5145
262,Before 1851,1,0,0,529578.7486,180743.2074
263,Before 1851,1,0,0,529578.2271,180747.224
264,Before 1851,1,0,0,529345.5216,181200.1964
265,Before 1851,1,0,0,529348.8302,181188.7127
266,Before 1851,1,0,0,529326.473,181186.7625
267,Before 1851,1,0,0,529298.2537,181169.6422
268,Before 1851,1,0,0,529300.1978,181156.7426
269,1851,2,1,0,529427.6831,180977.2411
270,1851,2,1,0,529562.3424,180812.9774
271,1851,2,1,0,529582.8876,180754.7244
272,1851,2,1,0,529398.6071,181019.4891
273,1851,2,1,1,529336.3346,180990.5245
274,1851,2,0,0,529155.0762,181017.747
275,1851,2,0,0,529139.1314,181030.4815
276,1851,2,0,0,529138.9545,181037.4428
277,1851,2,0,0,529137.5743,181039.3979
278,1851,2,0,0,529599.3188,180766.9167
279,1851,2,0,0,529596.7278,180772.2
280,1851,2,0,0,529573.3225,180794.6575
281,1854,3,1,0,529226.3635,181207.4687
282,1854,3,1,0,529154.0844,181177.7126
283,1854,3,1,0,529140.8723,181229.6261
284,1854,3,1,0,529269.1445,181230.7571
285,1854,3,1,1,529237.1703,181065.7546
286,1854,3,1,1,529276.4498,181085.7178
